VIX,COPP,3M_R,US_TRY,BIG_IX,SMALL_IX,SENTI,TEMP,RAIN,OIL,timestep
15.0,90.0,0.06,0.27,100.0,100.0,80.0,74.8196559918,0.639412633925,65.0,0
14.4585742576,98.0956455945,0.0604736587256,0.269558356468,99.5953767128,99.6237652018,79.0351629782,72.8087882702,0.173867840623,72.5947270645,1
14.0236970799,91.7062218686,0.0606146212112,0.269159331542,99.2080560383,99.2492458492,78.2876027321,73.2854315121,0.814486439178,67.663561491,2
14.4294966179,85.7314871884,0.0603334474497,0.26403986615,99.7803714395,99.6289274864,79.8474288146,79.046247884,0.400979503287,79.6581579423,3
14.8185311282,93.5971280564,0.0601881768928,0.260119219224,100.401160612,100.195400828,80.6554409888,76.9640389504,0.754570417589,77.026123062,4
15.4488072748,88.2057509757,0.0601040067741,0.25514393046,100.816818312,100.809452178,79.6408856394,81.6890983787,0.692238498025,58.3343790372,5
15.4877981641,83.7724647185,0.0599160478247,0.243820377127,100.323570574,100.733352421,80.4564997875,75.38305035,0.312020003525,51.2611372091,6
15.2331159548,95.0480142854,0.0596079248088,0.241451865524,100.929582729,101.208406162,81.2944129262,64.0183385835,1.0,70.6679349454,7
16.3247660843,89.5392710962,0.0593497355521,0.236271898161,100.422245843,100.86254319,80.7949104881,77.0755534299,0.0,90.2645759824,8
16.4324122645,84.2947742871,0.0586109580858,0.233110260754,100.94581939,101.445407161,80.740463559,67.7934994293,0.0165568860414,97.7181323227,9
15.0318424803,89.6057500924,0.0584782089064,0.239770143999,101.48835432,101.676190416,81.7885329408,70.4144443577,0.0,75.0776285043,10
14.7971438786,83.9390765781,0.0592231603311,0.237785123394,101.03917606,101.242848186,80.5252073132,74.4211541419,0.0,73.7677749467,11
14.7044446958,90.9084973544,0.0585873743541,0.237186849411,101.601823717,102.012248961,80.5908512457,74.5223984977,0.480017130485,82.2415319356,12
15.6816115672,86.5894341126,0.0583496766173,0.242140082911,102.191477227,102.612882453,80.9208086382,66.05653337,0.586635921298,61.271734454,13
15.8919457244,78.3914972137,0.0583388808284,0.243984509755,102.74789422,103.326384023,80.6491639651,74.7982594892,0.0,34.0654466287,14
15.9851465837,86.8048941144,0.058042786617,0.244578460211,103.24414914,104.177512752,81.4344116554,60.0105751254,0.167007601633,32.9403313295,15
15.3914525865,80.1945733311,0.0573861944973,0.25242411447,102.744934866,104.101663406,80.2844363883,76.4629655945,0.0,37.2617544682,16
14.1738927445,73.2464905596,0.0582920566896,0.255256941022,103.299457534,104.438495003,80.2692322248,77.3158598409,0.582450031892,41.8112438241,17
14.2855110508,87.3008683105,0.0582146178876,0.253283406318,103.882873068,105.045361208,80.5884835443,68.8560434662,0.0,55.1255300431,18
15.0279785963,82.7371846499,0.0581073021206,0.248153503736,104.498830981,105.623950922,81.1128070001,68.7917242914,0.0,66.980459221,19
14.3144412018,77.5304797015,0.0586564919086,0.24561101952,105.04428318,106.224397344,81.2111643828,74.9118958974,0.41726214567,70.3809404779,20
14.3103963973,89.3904941343,0.0582048091809,0.254121709935,104.635367896,105.543048894,80.0654992876,73.9075808113,0.701082508787,87.5707329955,21
13.5844313201,84.1817580346,0.0578550878412,0.25259909682,104.166649994,105.055015369,78.7562081339,70.8323485937,0.0,85.5751885483,22
